name,scenario,scen_value,rank,metric,base_rank,rank_diff,xval
"GOArockfish, greenstripeROCK",drate_3,4.955275271614339,30,mean_drate,29,1,0.3
"GOArockfish, stripetailROCK",drate_3,4.755711684206347,31,mean_drate,31,0,0.3
"GOArockfish, bocaccioROCK",drate_3,4.736328284171514,32,mean_drate,32,0,0.3
"GOArockfish, auroraROCK",drate_3,4.349008383341537,33,mean_drate,33,0,0.3
"GOArockfish, chilipepperROCK",drate_3,4.065457406347522,34,mean_drate,34,0,0.3
"GOArockfish, shortbellyROCK",drate_3,3.9035714285714285,35,mean_drate,35,0,0.3
GOAPacific sleeper sharkUSRK,drate_4,8.159289034077721,1,mean_drate,1,0,0.4
"GOArockfish, yelloweye (red snapper)ROCK",drate_4,7.898636301026808,2,mean_drate,4,-2,0.4
"GOArockfish, quillbackDEM1",drate_4,7.889532025543178,3,mean_drate,5,-2,0.4
"GOArockfish, rosethornDEM1",drate_4,7.823348782989537,4,mean_drate,2,2,0.4
"GOAshark, salmonUSRK",drate_4,7.591458214504051,5,mean_drate,3,2,0.4
"GOArockfish, rosethornROCK",drate_4,7.389058858673689,6,mean_drate,6,0,0.4
"BSAIoctopus, North PacificOCTP",drate_4,6.981091055549632,7,mean_drate,8,-1,0.4
"GOArockfish, widowROCK",drate_4,6.95271142077386,8,mean_drate,12,-4,0.4
"GOAoctopus, North PacificOCTP",drate_4,6.950284528611746,9,mean_drate,11,-2,0.4
"GOArockfish, tigerDEM1",drate_4,6.936619273538792,10,mean_drate,13,-3,0.4
"BSAIshark, salmonUSRK",drate_4,6.847896477900222,11,mean_drate,7,4,0.4
"GOArockfish, tigerROCK",drate_4,6.837885477179699,12,mean_drate,10,2,0.4
BSAIPacific sleeper sharkUSRK,drate_4,6.7909282919322695,13,mean_drate,9,4,0.4
"GOArockfish, canaryDEM1",drate_4,6.6322365988037415,14,mean_drate,16,-2,0.4
"GOArockfish, quillbackROCK",drate_4,6.621045013016914,15,mean_drate,14,1,0.4
"GOArockfish, chinaDEM1",drate_4,6.544040432141561,16,mean_drate,17,-1,0.4
"GOArockfish, chinaROCK",drate_4,6.478357305117682,17,mean_drate,15,2,0.4
"GOArockfish, copperROCK",drate_4,6.437789480307073,18,mean_drate,18,0,0.4
"GOArockfish, copperDEM1",drate_4,6.409899364730552,19,mean_drate,19,0,0.4
"GOArockfish, yellowtailROCK",drate_4,6.170818394634146,20,mean_drate,20,0,0.4
"GOArockfish, canaryROCK",drate_4,5.998802748273955,21,mean_drate,21,0,0.4
"GOArockfish, vermilionROCK",drate_4,5.6882403399212835,22,mean_drate,23,-1,0.4
"GOAgreenling, atka mackerelAMCK",drate_4,5.644627070083564,23,mean_drate,25,-2,0.4
"GOArockfish, blackgillROCK",drate_4,5.608497344391834,24,mean_drate,27,-3,0.4
"GOArockfish, splitnoseROCK",drate_4,5.452510839266711,25,mean_drate,24,1,0.4
"GOArockfish, darkblotchedROCK",drate_4,5.422001165609975,26,mean_drate,26,0,0.4
"BSAIshark, spiny dogfishUSRK",drate_4,5.387379719431691,27,mean_drate,22,5,0.4
"GOArockfish, yellowmouthROCK",drate_4,5.333970253553954,28,mean_drate,30,-2,0.4
"GOArockfish, pygmyROCK",drate_4,5.248624881417247,29,mean_drate,28,1,0.4
"GOArockfish, greenstripeROCK",drate_4,5.0232593043280955,30,mean_drate,29,1,0.4
"GOArockfish, stripetailROCK",drate_4,4.7560435187927546,31,mean_drate,31,0,0.4
"GOArockfish, bocaccioROCK",drate_4,4.736328284171514,32,mean_drate,32,0,0.4
"GOArockfish, auroraROCK",drate_4,4.349008383341537,33,mean_drate,33,0,0.4
"GOArockfish, chilipepperROCK",drate_4,4.065457406347522,34,mean_drate,34,0,0.4
"GOArockfish, shortbellyROCK",drate_4,3.9035714285714285,35,mean_drate,35,0,0.4
GOAPacific sleeper sharkUSRK,drate_5,8.258433088854845,1,mean_drate,1,0,0.5
"GOArockfish, yelloweye (red snapper)ROCK",drate_5,7.93436562168647,2,mean_drate,4,-2,0.5
"GOArockfish, quillbackDEM1",drate_5,7.911473498186909,3,mean_drate,5,-2,0.5
"GOArockfish, rosethornDEM1",drate_5,7.883461962340827,4,mean_drate,2,2,0.5
"GOAshark, salmonUSRK",drate_5,7.683511123180147,5,mean_drate,3,2,0.5
"GOArockfish, rosethornROCK",drate_5,7.458453853506817,6,mean_drate,6,0,0.5
"BSAIoctopus, North PacificOCTP",drate_5,7.051151620063287,7,mean_drate,8,-1,0.5
"GOAoctopus, North PacificOCTP",drate_5,6.998589676457777,8,mean_drate,11,-3,0.5
"GOArockfish, widowROCK",drate_5,6.9810629854860276,9,mean_drate,12,-3,0.5
"GOArockfish, tigerDEM1",drate_5,6.96274870956629,10,mean_drate,13,-3,0.5
"BSAIshark, salmonUSRK",drate_5,6.944112719656331,11,mean_drate,7,4,0.5
"GOArockfish, tigerROCK",drate_5,6.908461291107417,12,mean_drate,10,2,0.5
BSAIPacific sleeper sharkUSRK,drate_5,6.881200350881511,13,mean_drate,9,4,0.5
"GOArockfish, quillbackROCK",drate_5,6.666066473201661,14,mean_drate,14,0,0.5
"GOArockfish, canaryDEM1",drate_5,6.642628539486812,15,mean_drate,16,-1,0.5
"GOArockfish, chinaDEM1",drate_5,6.553622836910581,16,mean_drate,17,-1,0.5
"GOArockfish, chinaROCK",drate_5,6.519267665192516,17,mean_drate,15,2,0.5
"GOArockfish, copperROCK",drate_5,6.446668941595452,18,mean_drate,18,0,0.5
"GOArockfish, copperDEM1",drate_5,6.420016045255112,19,mean_drate,19,0,0.5
"GOArockfish, yellowtailROCK",drate_5,6.181217980861468,20,mean_drate,20,0,0.5
"GOArockfish, canaryROCK",drate_5,6.017097390639715,21,mean_drate,21,0,0.5
"GOArockfish, vermilionROCK",drate_5,5.719390870672543,22,mean_drate,23,-1,0.5
"GOAgreenling, atka mackerelAMCK",drate_5,5.657562940243209,23,mean_drate,25,-2,0.5
"GOArockfish, blackgillROCK",drate_5,5.608497344391834,24,mean_drate,27,-3,0.5
"GOArockfish, splitnoseROCK",drate_5,5.502478311960099,25,mean_drate,24,1,0.5
"BSAIshark, spiny dogfishUSRK",drate_5,5.480626906173188,26,mean_drate,22,4,0.5
"GOArockfish, darkblotchedROCK",drate_5,5.470877032197097,27,mean_drate,26,1,0.5
"GOArockfish, yellowmouthROCK",drate_5,5.333970253553954,28,mean_drate,30,-2,0.5
"GOArockfish, pygmyROCK",drate_5,5.29053291366568,29,mean_drate,28,1,0.5
"GOArockfish, greenstripeROCK",drate_5,5.091243337041851,30,mean_drate,29,1,0.5
"GOArockfish, stripetailROCK",drate_5,4.756375353379163,31,mean_drate,31,0,0.5
"GOArockfish, bocaccioROCK",drate_5,4.736328284171514,32,mean_drate,32,0,0.5
"GOArockfish, auroraROCK",drate_5,4.349008383341537,33,mean_drate,33,0,0.5
"GOArockfish, chilipepperROCK",drate_5,4.065457406347522,34,mean_drate,34,0,0.5
"GOArockfish, shortbellyROCK",drate_5,3.9035714285714285,35,mean_drate,35,0,0.5
GOAPacific sleeper sharkUSRK,drate_6,8.357577143631971,1,mean_drate,1,0,0.6
"GOArockfish, yelloweye (red snapper)ROCK",drate_6,7.970094942346131,2,mean_drate,4,-2,0.6
"GOArockfish, rosethornDEM1",drate_6,7.943575141692117,3,mean_drate,2,1,0.6
